iter	Passed	Remaining
0	228	228769
1	292	145777
2	354	117930
3	418	104257
4	482	96062
5	552	91476
6	615	87313
7	673	83473
8	724	79783
9	782	77462
10	839	75473
11	892	73453
12	945	71803
13	1008	70999
14	1078	70813
15	1131	69586
16	1182	68365
17	1239	67635
18	1292	66731
19	1344	65875
20	1400	65281
21	1460	64937
22	1522	64665
23	1584	64416
24	1643	64091
25	1706	63930
26	1762	63509
27	1813	62956
28	1870	62613
29	1932	62468
30	1987	62133
31	2043	61815
32	2102	61608
33	2162	61450
34	2225	61364
35	2280	61053
36	2349	61137
37	2412	61072
38	2465	60743
39	2519	60465
40	2574	60213
41	2635	60118
42	2696	60006
43	2749	59747
44	2804	59515
45	2865	59425
46	2917	59154
47	2973	58978
48	3030	58813
49	3107	59049
50	3198	59524
51	3268	59589
52	3332	59541
53	3435	60187
54	3522	60526
55	3616	60969
56	3698	61193
57	3779	61386
58	3842	61287
59	3913	61318
60	3978	61242
61	4039	61118
62	4103	61030
63	4174	61056
64	4256	61230
65	4333	61329
66	4400	61278
67	4462	61167
68	4529	61118
69	4586	60937
70	4643	60755
71	4701	60603
72	4767	60538
73	4831	60455
74	4896	60392
75	4971	60440
76	5042	60441
77	5101	60300
78	5164	60210
79	5233	60188
80	5290	60028
81	5355	59960
82	5416	59841
83	5472	59679
84	5536	59593
85	5599	59508
86	5666	59463
87	5734	59426
88	5800	59376
89	5866	59313
90	5938	59318
91	6011	59335
92	6066	59162
93	6124	59025
94	6184	58911
95	6244	58803
96	6316	58800
97	6384	58767
98	6450	58707
99	6526	58734
100	6595	58706
101	6657	58610
102	6719	58522
103	6783	58446
104	6848	58374
105	6915	58323
106	6981	58269
107	7055	58269
108	7121	58217
109	7189	58167
110	7250	58069
111	7317	58021
112	7386	57984
113	7449	57899
114	7515	57837
115	7587	57824
116	7656	57787
117	7721	57713
118	7774	57560
119	7829	57412
120	7891	57325
121	7956	57261
122	8019	57176
123	8082	57096
124	8143	57005
125	8198	56867
126	8255	56746
127	8318	56669
128	8377	56564
129	8436	56459
130	8502	56400
131	8560	56292
132	8632	56272
133	8793	56828
134	8880	56899
135	8946	56836
136	9004	56722
137	9058	56585
138	9115	56466
139	9172	56344
140	9229	56227
141	9292	56150
142	9360	56096
143	9416	55978
144	9507	56064
145	9566	55956
146	9620	55822
147	9676	55706
148	9734	55596
