iter	Passed	Remaining
0	69	69382
1	132	66309
2	190	63254
3	248	61911
4	302	60106
5	356	58987
6	415	58989
7	472	58606
8	524	57758
9	581	57602
10	639	57538
11	694	57212
12	747	56768
13	799	56313
14	862	56646
15	916	56343
16	972	56209
17	1026	55991
18	1088	56202
19	1146	56183
20	1200	55987
21	1254	55788
22	1321	56140
23	1376	55989
24	1434	55934
25	1500	56219
26	1559	56208
27	1614	56049
28	1676	56126
29	1737	56187
30	1799	56261
31	1854	56112
32	1909	55948
33	1963	55775
34	2018	55646
35	2073	55520
36	2128	55388
37	2179	55175
38	2232	55012
39	2283	54800
40	2334	54603
41	2383	54377
42	2437	54254
43	2486	54032
44	2537	53849
45	2585	53629
46	2638	53496
47	2688	53312
48	2736	53113
49	2784	52913
50	2833	52728
51	2888	52664
52	2939	52528
53	2991	52401
54	3043	52296
55	3094	52163
56	3146	52062
57	3198	51942
58	3245	51766
59	3297	51667
60	3345	51497
61	3401	51462
62	3453	51365
63	3502	51229
64	3551	51092
65	3600	50954
66	3653	50879
67	3703	50753
68	3753	50639
69	3802	50525
70	3852	50412
71	3906	50353
72	3957	50260
73	4006	50130
74	4058	50053
75	4109	49963
76	4162	49897
77	4212	49797
78	4264	49719
79	4317	49651
80	4371	49595
81	4423	49521
82	4472	49412
83	4523	49332
84	4576	49265
85	4630	49212
86	4683	49147
87	4734	49063
88	4785	48982
89	4837	48913
90	4891	48858
91	4947	48830
92	5004	48809
93	5061	48784
94	5123	48811
95	5174	48726
96	5229	48683
97	5286	48655
98	5343	48628
99	5398	48590
100	5455	48559
101	5506	48480
102	5561	48430
103	5617	48394
104	5669	48325
105	5722	48266
106	5774	48194
107	5825	48115
108	5881	48076
109	5933	48004
110	5989	47973
111	6043	47916
112	6094	47838
113	6144	47751
114	6197	47692
115	6250	47630
116	6299	47539
117	6348	47451
118	6402	47399
119	6453	47326
120	6502	47236
121	6551	47150
122	6601	47071
123	6654	47013
124	6704	46928
125	6753	46847
126	6802	46763
127	6852	46680
